Date_of_Policy,FullName,Insurance_Plan,Policy_No,Monthly_Premium,Department,JobTitle,Policy_Start,Full_Name,Insurance_Type,Policy_Num,Monthly_Cost
5/1/2023,John Doe,Gold Plan,AB-12345,150,IT,Software Engineer,5/1/2023,John Doe,Gold,AB-12345,150
5/2/2023,Jane Smith,Silver Plan,CD-67890,100,HR,HR Manager,5/2/2023,Jane Smith,Silver,CD-67890,100
5/3/2023,Michael Brown,Bronze Plan,EF-10111,50,Marketing,Marketing Coordinator,5/3/2023,Michael Brown,Bronze,EF-10111,50
5/4/2023,Alice Johnson,Gold Plan,GH-12121,150,Finance,Financial Analyst,5/4/2023,Alice Johnson,Gold,GH-12121,150
5/5/2023,Bob Wilson,Silver Plan,IJ-13131,100,Sales,Sales Executive,5/5/2023,Bob Wilson,Silver,IJ-13131,100
5/6/2023,Carol Martinez,Bronze Plan,KL-14141,50,Operations,Operations Manager,5/6/2023,Carol Martinez,Bronze,KL-14141,50
5/7/2023,David Anderson,Gold Plan,MN-15151,150,Legal,Attorney,5/7/2023,David Anderson,Gold,MN-15151,150
5/8/2023,Eva Thomas,Silver Plan,OP-16161,100,Product,Product Manager,5/8/2023,Eva Thomas,Silver,OP-16161,100
5/9/2023,Frank Jackson,Bronze Plan,QR-17171,50,Engineering,Engineer,5/9/2023,Frank Jackson,Bronze,QR-17171,50
5/10/2023,Grace White,Gold Plan,ST-18181,150,Design,Graphic Designer,5/10/2023,Grace White,Gold,ST-18181,150
